1.6339	'Crocodile' Dundee II	1988
7.6177	10	1979
1.2864	10 Things I Hate About You	1999
0.3243	10,000 BC	2008
0.3376	101 Dalmatians	1996
0.5218	102 Dalmatians	2000
12.8205	1066	2012
0.6829	12	2007
7.4061	12 Rounds	2009
2.3677	127 Hours	2010
1.3585	13 Going on 30	2004
8.4034	13 game sayawng	2006
0.59	1408	2007
4.4292	15 Minutes	2001
2.2118	16 Blocks	2006
1.0491	17 Again	2009
3.9265	1941	1979
10.4757	2 Days in the Valley	1996
0.4	2 Fast 2 Furious	2003
11.1111	2 Guns	2013
6.5918	20-seiki shônen: Honkaku kagaku bôken eiga	2008
13.3455	200 Cigarettes	1999
2.5639	2001: A Space Odyssey	1968
11.0971	2010	1984
1.0392	21	2008
3.9838	21 Grams	2003
0.5352	21 Jump Street	2012
4.7621	25th Hour	2002
0.5407	27 Dresses	2008
1.4889	28 Days	2000
1.0344	28 Days Later...	2002
2.2237	28 Weeks Later	2007
5.2274	3 Idiots	2009
3.7266	3 Men and a Baby	1987
7.7775	3 Men and a Little Lady	1990
8.2466	3 Ninjas	1992
7.4894	3 Strikes	2000
2.8224	30 Days of Night	2007
4.0606	30 Minutes or Less	2011
0.1918	300	2006
6.4674	3000 Miles to Graceland	2001
1.3744	3:10 to Yuma	2007
4.1799	3D rou pu tuan zhi ji le bao jian	2011
1.9327	40 Days and 40 Nights	2002
8.443	48 Hrs.	1982
0.2991	4: Rise of the Silver Surfer	2007
0.3808	50 First Dates	2004
2.4763	50/50	2011
1.957	500) Days of Summer	2009
6.5232	7 Zwerge	2004
0.383	8 Mile	2002
4.6233	8 femmes	2002
9.4723	88 Minutes	2007
2.4411	8MM	1999
0.2224	9 rota	2005
0.3159	A Beautiful Mind	2001
9.7603	A Bridge Too Far	1977
0.2394	A Bug's Life	1998
8.3928	A Chorus Line	1985
0.5586	A Christmas Carol	2009
8.4963	A Christmas Story	1983
1.4377	A Cinderella Story	2004
1.0854	A Civil Action	1998
13.1181	A Clockwork Orange	1971
9.6615	A Dangerous Method	2011
12.0162	A Day Without a Mexican	2004
1.661	A Few Good Men	1992
6.1385	A Fish Called Wanda	1988
8.8268	A Good Year	2006
11.6271	A Guy Thing	2003
1.7574	A History of Violence	2005
5.1826	A Kid in King Arthur's Court	1995
1.4242	A Knight's Tale	2001
4.9761	A League of Their Own	1992
4.3849	A Lot Like Love	2005
1.156	A Love Story	2007
5.1929	A Man Apart	2003
4.3504	A Midsummer Night's Dream	1999
7.1644	A Mighty Heart	2007
4.9528	A Mighty Wind	2003
2.5457	A Night at the Roxbury	1998
12.7169	A Nightmare on Elm Street	1984
1.2481	A Nightmare on Elm Street	2010
0.9468	A Nightmare on Elm Street 3: Dream Warriors	1987
1.1339	A Nightmare on Elm Street 4: The Dream Master	1988
6.3569	A Nightmare on Elm Street Part 2: Freddy's Revenge	1985
3.6791	A Nightmare on Elm Street: The Dream Child	1989
3.0642	A Passage to India	1984
12.7904	A Perfect Getaway	2009
1.1004	A Perfect Murder	1998
3.3651	A Perfect World	1993
2.7244	A Prairie Home Companion	2006
1.9591	A Room with a View	1985
11.4413	A Scanner Darkly	2006
11.5798	A Serious Man	2009
3.5327	A Simple Plan	1998
13.4253	A Simple Wish	1997
8.7292	A Single Man	2009
5.2777	A Soldier's Story	1984
8.5879	A Star Is Born	1976
4.6163	A Thin Line Between Love and Hate	1996
4.9102	A Thousand Words	2012
0.4878	A Time to Kill	1996
4.9858	A Very Brady Sequel	1996
3.922	A Very Harold & Kumar 3D Christmas	2011
0.8296	A Very Special Love	2008
1.1191	A View to a Kill	1985
10.5177	A Walk in the Clouds	1995
1.921	A Walk to Remember	2002
4.6948	A hét nyolcadik napja	2006
7.6923	A nyomozó	2008
5.4054	A sólyom országa	2009
7.5521	ATL	2006
0.5675	AVP: Alien vs. Predator	2004
0.564	AVPR: Aliens vs Predator - Requiem	2007
7.247	Abandon	2002
3.1054	Abduction	2011
1.7704	About Last Night...	1986
0.7781	About Schmidt	2002
1.2909	About a Boy	2002
6.7385	Abraham Lincoln: Vampire Hunter	2012
7.9993	Abre los ojos	1997
2.1052	Absence of Malice	1981
13.1579	Absolument fabuleux	2001
1.3596	Absolute Power	1997
3.3905	Accepted	2006
7.7421	Ace Ventura: Pet Detective	1994
1.8961	Ace Ventura: When Nature Calls	1995
0.2701	Across the Sea of Time	1995
3.1995	Across the Universe	2007
0.9007	Act of Valor	2012
3.1076	Adaptation.	2002
10.8285	Addams Family Values	1993
2.5439	Addicted to Love	1997
9.9713	Admiral	2008
8.9774	Adventureland	2009
13.3417	Affliction	1997
0.7949	Africa's Elephant Kingdom	1998
0.2351	African Cats	2011
1.9396	After the Sunset	2004
11.1842	Against the Ropes	2004
2.3175	Agent Cody Banks	2003
6.9665	Agent Cody Banks 2: Destination London	2004
6.4103	Agnes	1995
4.2765	Agnes of God	1985
5.7619	Agora	2009
2.7423	Air Bud	1997
13.4336	Air Bud: Golden Receiver	1998
0.1814	Air Force One	1997
7.2467	Airplane!	1980
6.4222	Airport	1970
5.1961	Akeelah and the Bee	2006
10.4107	Akira	1988
0.091	Aladdin	1992
6.8591	Alaska	1996
8.5314	Alatriste	2006
7.5976	Alex & Emma	2003
0.5199	Alexander	2004
4.8494	Alfie	2004
1.4342	Ali	2001
11.6428	Ali G Indahouse	2002
0.0601	Alice in Wonderland	2010
0.7161	Alien	1979
0.9713	Alien Adventure	1999
0.4774	Alien: Resurrection	1997
0.78	Aliens	1986
1.7399	Aliens in the Attic	2009
0.9311	Aliens of the Deep	2005
0.9966	Alien³	1992
2.7869	All About Steve	2009
3.8457	All About the Benjamins	2002
2.8268	All of Me	1984
12.63	All the King's Men	2006
8.9783	All the President's Men	1976
4.9583	All the Pretty Horses	2000
8.5281	All the Right Moves	1983
0.5495	Allauddin and Wonderful Lamp	1982
6.5337	Alles is liefde	2007
